workload,count,average,std,var,min,max,percentil_5,percentil_25,median,percentil_75,percentil_95
445.gobmk,185066624.00,1564415.07,4002956.36,16023659588300.00,1.00,186739125.00,3.00,3.00,73.00,29631.00,11045367.00
450.soplex,20415696.00,41838.29,348985.64,121790973807.00,1.00,20580265.00,1.00,5.00,38.00,4987.00,180397.00
454.calculix,52677590.00,64582.97,746648.87,557484532984.00,1.00,53023372.00,1.00,3.00,33.00,347.00,22700.00
462.libquantum,99136831.00,9037.40,808410.44,653527434360.00,1.00,99163695.00,1.00,3.00,4.00,6195.00,8050.00
471.omnetpp,844953012.00,20640.29,2660241.33,7076883956990.00,1.00,845934508.00,1.00,7.00,41.00,388.00,5532.00
483.xalancbmk,132801366.00,419303.92,3339163.53,11150013098900.00,1.00,133658299.00,2.00,18.00,394.00,2906.00,14516.00
richards,82160943.00,53129.69,1761758.98,3103794707620.00,1.00,82884383.00,1.00,11.00,30.00,400.00,3712.00
raytrace,60766221.00,302611.63,2159090.31,4661670967770.00,1.00,62009603.00,1.00,9.00,32.00,317.00,65725.00
deltablue,270792381.00,274595.04,5113161.38,26144419343500.00,1.00,272159372.00,1.00,14.00,63.00,499.00,11435.00
