,445.gobmk,471.omnetpp,483.xalancbmk
Count,74989942.00,271457113.00,29479334.00
Average,1402011.75,53335.15,327134.65
Minimum,0.00,0.00,0.00
Maximum,186740133.00,845936442.00,133660213.00
Percentile 5\%,0.00,0.00,0.00
Percentile 25\%,0.00,6.00,8.00
Percentile 50\%,0.00,35.00,63.00
Percentile 75\%,0.00,112.00,529.00
Percentile 95\%,156.00,2493.00,8956.00
