,445.gobmk,471.omnetpp,483.xalancbmk
Count,185066624.00,844953012.00,132801366.00
Average,1564415.07,20640.29,419303.92
Minimum,1.00,1.00,1.00
Maximum,186739125.00,845934508.00,133658299.00
Percentile 5\%,3.00,1.00,2.00
Percentile 25\%,3.00,7.00,18.00
Percentile 50\%,73.00,41.00,394.00
Percentile 75\%,29631.00,388.00,2906.00
Percentile 95\%,11045367.00,5532.00,14516.00
