workload,count,average,std,var,min,max,percentil_5,percentil_25,median,percentil_75,percentil_95
445.gobmk,1682612.00,32328924.15,18845130.61,355138947668000.00,67.00,65849301.00,4106827.80,16816085.00,30203565.00,49186001.00,63216287.00
450.soplex,107373.00,626775.37,328048.18,107615606401.00,38.00,1202868.00,68154.40,374239.00,593506.00,910956.00,1131553.00
454.calculix,385196.00,906990.27,388881.32,151228682562.00,95.00,1644433.00,173415.00,651565.00,951771.00,1173847.50,1541702.50
462.libquantum,230824.00,648538.06,358488.09,128513708203.00,45.00,1258998.00,88084.95,342481.00,646110.00,960216.00,1209321.00
471.omnetpp,10090020.00,19246741.79,11049090.56,122082402255000.00,83.00,38413235.00,2025130.90,9677586.50,19247839.00,28821532.00,36471069.10
483.xalancbmk,1106522.00,1672263.71,899694.70,809450545234.00,75.00,3632581.00,288751.10,936685.50,1636153.00,2316459.00,3313686.70
richards,636771.00,2210422.06,1091622.67,1191640050450.00,23.00,4094529.00,570468.00,1272966.00,2214681.00,3153355.00,3896079.00
raytrace,654011.00,2244395.20,1179116.28,1390315201680.00,10.00,4533820.00,575986.50,1236343.50,2191640.00,3161122.50,4187175.50
deltablue,2084600.00,9468026.13,5478591.66,30014966589500.00,49.00,18688710.00,943904.90,4639062.25,9422995.50,14385234.50,17702940.75
