workload,count,average,std,var,min,max,percentil_5,percentil_25,median,percentil_75,percentil_95
445.gobmk,1673842.00,111.56,20082.98,403325886.54,1.00,12057070.00,20.00,20.00,20.00,20.00,23.00
450.soplex,166827.00,123.38,2179.57,4750505.82,1.00,343765.00,1.00,2.00,7.00,34.00,324.00
454.calculix,349868.00,151.56,2565.81,6583366.92,1.00,584284.00,2.00,10.00,28.00,90.00,309.00
462.libquantum,28195.00,3517.11,229007.25,52444318615.80,1.00,27178740.00,1.00,1.00,3.00,63.00,18626.00
471.omnetpp,983774.00,859.89,70505.85,4971074857.93,1.00,19444797.00,5.00,51.00,93.00,164.00,391.00
483.xalancbmk,859191.00,155.57,3637.46,13231081.75,1.00,2416458.00,1.00,8.00,11.00,23.00,454.00
richards,729825.00,113.58,4196.55,17611046.80,1.00,1135989.00,1.00,1.00,2.00,5.00,31.00
raytrace,1249767.00,49.62,1282.25,1644177.64,1.00,441407.00,1.00,1.00,5.00,11.00,46.00
deltablue,1373375.00,198.17,9247.10,85508807.37,1.00,3435636.00,1.00,1.00,3.00,11.00,76.00
