,445.gobmk,471.omnetpp,483.xalancbmk
Count,1682612.00,10090020.00,1106522.00
Average,32328924.15,19246741.79,1672263.71
Minimum,67.00,83.00,75.00
Maximum,65849301.00,38413235.00,3632581.00
Percentile 5\%,4106827.80,2025130.90,288751.10
Percentile 25\%,16816085.00,9677586.50,936685.50
Percentile 50\%,30203565.00,19247839.00,1636153.00
Percentile 75\%,49186001.00,28821532.00,2316459.00
Percentile 95\%,63216287.00,36471069.10,3313686.70
