Allocator,MIN+Liveness-cpa,MIN+Liveness-speedup,MIN+Liveness-compaction,MIN+Liveness-cs,MIN+Liveness-cl,MIN+Liveness-ms,MIN+Liveness-ml,MIN+Liveness-misses,MIN+Liveness-hits,MIN-cpa,MIN-speedup,MIN-compaction,MIN-cs,MIN-cl,MIN-ms,MIN-ml,MIN-misses,MIN-hits,LRU+Liveness-cpa,LRU+Liveness-speedup,LRU+Liveness-compaction,LRU+Liveness-cs,LRU+Liveness-cl,LRU+Liveness-ms,LRU+Liveness-ml,LRU+Liveness-misses,LRU+Liveness-hits,LRU-cpa,LRU-speedup,LRU-compaction,LRU-cs,LRU-cl,LRU-ms,LRU-ml,LRU-misses,LRU-hits
Identity,1.42,1.0,1.0,0.2778261088126117,0.7179996767107755,0.0024058001628444884,0.0017684143137683037,0.002614888369127536,0.9973851116308725,1.5,1.0,1.0,0.27759416252551417,0.7174002465137287,0.002403791653213571,0.002601799307543642,0.002614888369127536,0.9973851116308725,9.83,1.0,1.0,0.2563526537148651,0.6625047706202737,0.044196356565299834,0.036946219099561355,0.04812412938880233,0.9518758706111977,10.62,1.0,1.0,0.2545016645139576,0.6577211681952652,0.0438772376580588,0.043899929632718424,0.04812412938880233,0.9518758706111977
CompactStack,1.21,1.1735537190082643,3.9930826491778166,0.278419026275331,0.7195319824698276,0.0009768345199074337,0.00107215673493389,0.0011778439407063945,0.9988221560592936,1.22,1.2295081967213115,3.9930826491778166,0.27839027584980847,0.7194576813311813,0.0009767336488984077,0.0011753091701118825,0.0011778439407063945,0.9988221560592936,29.89,0.3288725326196052,3.9930826491778166,0.2164523201427432,0.559388376240081,0.11788283572784161,0.1062764678893342,0.15196693816399476,0.8480330618360052,31.39,0.33832430710417327,3.9930826491778166,0.21396483615589496,0.5529598490364519,0.11652811859658659,0.11654719621106653,0.15196693816399476,0.8480330618360052
CompactSet,1.39,1.0215827338129497,3.9930826491778166,0.27791532387411116,0.7182302395818754,0.0019914661407198202,0.0018629704032936724,0.0021981756075287757,0.9978018243924712,1.42,1.0563380281690142,3.9930826491778166,0.2778245495711797,0.7179956470864581,0.001990815676584862,0.002188987665777328,0.0021981756075287757,0.9978018243924712,34.8,0.2824712643678161,3.9930826491778166,0.20851766852669507,0.5388824658363263,0.1336523520046805,0.11894751363229814,0.17884789925899755,0.8211521007410024,36.77,0.28882240957302147,3.9930826491778166,0.2054921196252845,0.5310633910115385,0.13171308359814293,0.13173140576503403,0.17884789925899755,0.8211521007410024
CompactQueue,1.86,0.7634408602150536,3.9930826491778166,0.2766071332575847,0.7148494182337435,0.0057004172084969265,0.002843031300174895,0.005948541877008956,0.994051458122991,2.17,0.6912442396313364,3.9930826491778166,0.27576475754394153,0.712672425248276,0.005683057233150233,0.005879759974632262,0.005948541877008956,0.994051458122991,45.79,0.21467569338283468,3.9930826491778166,0.192686212638921,0.49796845578211113,0.19249377245443078,0.11685155912453708,0.2787369167521397,0.7212630832478604,56.74,0.18716954529432497,3.9930826491778166,0.17913311013594269,0.46294250643143336,0.17895420574890453,0.17897017768371945,0.2787369167521397,0.7212630832478604
SingleAssignment,4.18,0.3397129186602871,0.050772836546143306,0.270396484653391,0.6987989336013473,0.02467189952342432,0.0061326822218374585,0.02565506667962912,0.9743449333203709,6.11,0.2454991816693944,0.050772836546143306,0.26542452827354285,0.685949662204184,0.02421824122828892,0.024407568293984258,0.02565506667962912,0.9743449333203709,20.05,0.4902743142144638,0.050772836546143306,0.23434324999869408,0.6056247861568036,0.08812404668376542,0.07190791716073695,0.10493844705044178,0.8950615529495582,21.99,0.4829467939972715,0.050772836546143306,0.2305990083370255,0.5959483582858063,0.08671603631013605,0.08673659706703213,0.10493844705044178,0.8950615529495582
