Allocator,MIN+Liveness-cpa,MIN+Liveness-speedup,MIN+Liveness-compaction,MIN+Liveness-cs,MIN+Liveness-cl,MIN+Liveness-ms,MIN+Liveness-ml,MIN+Liveness-misses,MIN+Liveness-hits,MIN-cpa,MIN-speedup,MIN-compaction,MIN-cs,MIN-cl,MIN-ms,MIN-ml,MIN-misses,MIN-hits,LRU+Liveness-cpa,LRU+Liveness-speedup,LRU+Liveness-compaction,LRU+Liveness-cs,LRU+Liveness-cl,LRU+Liveness-ms,LRU+Liveness-ml,LRU+Liveness-misses,LRU+Liveness-hits,LRU-cpa,LRU-speedup,LRU-compaction,LRU-cs,LRU-cl,LRU-ms,LRU-ml,LRU-misses,LRU-hits
Identity,1.0,1.0,1.0,0.14280914022544272,0.8571691187110672,4.638631356893856e-07,2.1277200354447906e-05,4.176875827169147e-05,0.9999582312417283,1.0,1.0,1.0,0.14280621403331883,0.8571515551187086,4.638536310270645e-07,4.1766994341610893e-05,4.176875827169147e-05,0.9999582312417283,3.19,1.0,1.0,0.13975077729695387,0.8388122106590127,0.011044530776727964,0.010392481267305494,0.011291642277187524,0.9887083577228125,3.26,1.0,1.0,0.13965900709267978,0.8382613874764252,0.011037278159854584,0.01104232727104041,0.011291642277187524,0.9887083577228125
CompactStack,1.0,1.0,2.6422078530596944,0.14281217022791026,0.8571873053939412,0.0,5.243781485252298e-07,1.3452323402809374e-05,0.9999865476765972,1.0,1.0,2.6422078530596944,0.14281032398486745,0.8571762238726923,0.0,1.3452142440238808e-05,1.3452323402809374e-05,0.9999865476765972,1.15,2.773913043478261,2.6422078530596944,0.14259740790129707,0.855898258810895,0.0007767149401494816,0.0007276183476584087,0.0007830482492890185,0.999216951750711,1.16,2.810344827586207,2.6422078530596944,0.14258967213551826,0.8558518271922695,0.0007766728041461535,0.0007818278680661269,0.0007830482492890185,0.999216951750711
CompactSet,1.0,1.0,2.6422078530596944,0.14281217022791026,0.8571873053939412,0.0,5.243781485252298e-07,1.3452323402809374e-05,0.9999865476765972,1.0,1.0,2.6422078530596944,0.14281032398486745,0.8571762238726923,0.0,1.3452142440238808e-05,1.3452323402809374e-05,0.9999865476765972,1.38,2.3115942028985508,2.6422078530596944,0.1422647444149783,0.8539015458067759,0.0020056223082283455,0.0018280874700174518,0.0020185039834507783,0.9979814960165492,1.4,2.3285714285714287,2.6422078530596944,0.14223876050064418,0.8537455851384651,0.0020052559917635186,0.002010398369127159,0.0020185039834507783,0.9979814960165492
CompactQueue,1.0,1.0,2.6422078530596944,0.14281217022791026,0.8571873053939412,0.0,5.243781485252298e-07,1.3452323402809374e-05,0.9999865476765972,1.0,1.0,2.6422078530596944,0.14281032398486745,0.8571762238726923,0.0,1.3452142440238808e-05,1.3452323402809374e-05,0.9999865476765972,1.35,2.3629629629629627,2.6422078530596944,0.1423119412418267,0.8541848306330253,0.0021087258938208924,0.0013945022313271713,0.002121302322857254,0.9978786976771428,1.42,2.295774647887324,2.6422078530596944,0.14220964007996686,0.8535707985296455,0.0021072100329092972,0.002112351357478386,0.002121302322857254,0.9978786976771428
SingleAssignment,1.8,0.5555555555555556,0.004405410240645242,0.14167222580715993,0.8503451302154362,0.00796209637376311,2.0547603640727252e-05,0.008067471287709842,0.9919325287122902,2.61,0.3831417624521073,0.004405410240645242,0.14055027983459306,0.8436109853348746,0.007899042081301495,0.007939692749230873,0.008067471287709842,0.9919325287122902,4.4,0.725,0.004405410240645242,0.13811931108580686,0.8290198230554733,0.02032217579281567,0.012538690065904226,0.02101783344462593,0.9789821665553741,5.2,0.6269230769230768,0.004405410240645242,0.13705188533124885,0.8226129194645714,0.02016512017431182,0.020170075029868006,0.02101783344462593,0.9789821665553741
