Allocator,MIN+Liveness-cpa,MIN+Liveness-speedup,MIN+Liveness-compaction,MIN+Liveness-cs,MIN+Liveness-cl,MIN+Liveness-ms,MIN+Liveness-ml,MIN+Liveness-misses,MIN+Liveness-hits,MIN-cpa,MIN-speedup,MIN-compaction,MIN-cs,MIN-cl,MIN-ms,MIN-ml,MIN-misses,MIN-hits,LRU+Liveness-cpa,LRU+Liveness-speedup,LRU+Liveness-compaction,LRU+Liveness-cs,LRU+Liveness-cl,LRU+Liveness-ms,LRU+Liveness-ml,LRU+Liveness-misses,LRU+Liveness-hits,LRU-cpa,LRU-speedup,LRU-compaction,LRU-cs,LRU-cl,LRU-ms,LRU-ml,LRU-misses,LRU-hits
Identity,1.59,1.0,1.0,0.2532491917250532,0.7409072145925784,0.004507728540885713,0.0013358651414826835,0.004564869499982706,0.9954351305000173,1.91,1.0,1.0,0.2524407932228674,0.7385421595317686,0.004493339389331506,0.004523707856032441,0.004564869499982706,0.9954351305000173,7.33,1.0,1.0,0.23957917384966085,0.700914135844735,0.031759213550472065,0.027747476755132033,0.03377250627498133,0.9662274937250187,7.75,1.0,1.0,0.23862102941709615,0.6981109832744414,0.03163219953186161,0.031635787776600845,0.03377250627498133,0.9662274937250187
CompactStack,1.57,1.0127388535031847,7.14141682805396,0.25328606194747044,0.7410150823160901,0.003230713913206263,0.002468141823233171,0.0032798756030920926,0.9967201243969079,1.65,1.1575757575757575,7.14141682805396,0.25308535457047376,0.7404278917208276,0.003228153850838991,0.0032585998578596644,0.0032798756030920926,0.9967201243969079,66.81,0.10971411465349498,7.14141682805396,0.15362905236956678,0.44945799232879724,0.20061390359543513,0.19629905170620085,0.33264885316915144,0.6673511468308486,67.53,0.11476380867762476,7.14141682805396,0.1529686618640746,0.44752595026921665,0.19975154380631496,0.19975384406039376,0.33264885316915144,0.6673511468308486
CompactSet,1.82,0.8736263736263736,7.14141682805396,0.25267003386465137,0.7392128272018949,0.005222450028469205,0.0028946889049845112,0.0052958330855975705,0.9947041669144024,2.06,0.9271844660194174,7.14141682805396,0.25207559998175494,0.7374737481966027,0.005210163643727916,0.005240488177914456,0.0052958330855975705,0.9947041669144024,68.98,0.1062626848361844,7.14141682805396,0.15164524731964063,0.4436541614702521,0.2059518130697454,0.19874877814036188,0.34596723998389445,0.6540327600161056,70.19,0.11041458897278815,7.14141682805396,0.15056041208149698,0.4404803615891551,0.2044784811445668,0.20448074518478113,0.34596723998389445,0.6540327600161056
CompactQueue,7.65,0.20784313725490197,7.14141682805396,0.23884733053167975,0.6987730510477804,0.05757710138259076,0.0048025170379490415,0.061438334422023996,0.938561665577976,13.28,0.1438253012048193,7.14141682805396,0.22686795012467498,0.6637261104852421,0.054689323660062475,0.054716615730020395,0.061438334422023996,0.938561665577976,91.03,0.08052290453696584,7.14141682805396,0.1340511287891709,0.3921807124739195,0.2838637135133352,0.1899044452235744,0.5394309257591976,0.4605690742408024,108.89,0.07117274313527414,7.14141682805396,0.12253736100246929,0.35849597072922573,0.2594824128112455,0.25948425545705944,0.5394309257591976,0.4605690742408024
SingleAssignment,4.59,0.34640522875817,0.029145536327245383,0.24590039951348278,0.7194075480743707,0.03057765206727173,0.004114400344874796,0.031707222348325244,0.9682927776516748,7.34,0.26021798365122617,0.029145536327245383,0.23955393697475363,0.7008403027060579,0.029788471066544673,0.029817289252643753,0.031707222348325244,0.9682927776516748,55.18,0.13283798477709316,0.029145536327245383,0.16522459709511939,0.48338198113117864,0.18463929193070833,0.16675412984299365,0.28467453565976086,0.7153254643402391,57.93,0.13378215087174175,0.029145536327245383,0.16232105541373684,0.47488736377444424,0.18139456996093323,0.1813970108508857,0.28467453565976086,0.7153254643402391
