Allocator,MIN+Liveness-cpa,MIN+Liveness-speedup,MIN+Liveness-compaction,MIN+Liveness-cs,MIN+Liveness-cl,MIN+Liveness-ms,MIN+Liveness-ml,MIN+Liveness-misses,MIN+Liveness-hits,MIN-cpa,MIN-speedup,MIN-compaction,MIN-cs,MIN-cl,MIN-ms,MIN-ml,MIN-misses,MIN-hits,LRU+Liveness-cpa,LRU+Liveness-speedup,LRU+Liveness-compaction,LRU+Liveness-cs,LRU+Liveness-cl,LRU+Liveness-ms,LRU+Liveness-ml,LRU+Liveness-misses,LRU+Liveness-hits,LRU-cpa,LRU-speedup,LRU-compaction,LRU-cs,LRU-cl,LRU-ms,LRU-ml,LRU-misses,LRU-hits
Identity,1.03,1.0,1.0,0.3938498360217711,0.6058810945361103,0.00018476904530555783,8.430039681304839e-05,0.00018966074375207512,0.999810339256248,1.04,1.0,1.0,0.39380836433267075,0.6058172963316012,0.00018474958945284073,0.00018958974627524526,0.00018966074375207512,0.999810339256248,1.82,1.0,1.0,0.3907684631122354,0.6011408473140696,0.004238455585262111,0.0038522339884329384,0.00427363256904163,0.9957263674309583,1.85,1.0,1.0,0.3906173637433959,0.6009084027562631,0.004236816691584031,0.0042374168087569095,0.00427363256904163,0.9957263674309583
CompactStack,1.0,1.03,39.76290368214704,0.39395572759315883,0.6060439934262624,0.0,2.789805787693732e-07,3.6563015714509903e-06,0.9999963436984286,1.0,1.04,39.76290368214704,0.39395439708310526,0.6060419466286918,0.0,3.6562882029586882e-06,3.6563015714509903e-06,0.9999963436984286,5.76,0.31597222222222227,39.76290368214704,0.3760537301905806,0.578504355755683,0.023806095907557515,0.02163581814617889,0.024939994748023643,0.9750600052519763,5.99,0.3088480801335559,39.76290368214704,0.37523914023767774,0.5772512267528932,0.02375452825914113,0.02375510475028795,0.024939994748023643,0.9750600052519763
CompactSet,1.0,1.03,39.76290368214704,0.39395572759315883,0.6060439934262624,0.0,2.789805787693732e-07,3.6563015714509903e-06,0.9999963436984286,1.0,1.04,39.76290368214704,0.39395439708310526,0.6060419466286918,0.0,3.6562882029586882e-06,3.6563015714509903e-06,0.9999963436984286,6.02,0.3023255813953489,39.76290368214704,0.3751315656578968,0.5770857387973812,0.025260654718555497,0.02252204082616643,0.026528851057672293,0.9734711489423277,6.31,0.29318541996830433,39.76290368214704,0.37410681592712264,0.5755093093267525,0.025191649997300912,0.02519222474882393,0.026528851057672293,0.9734711489423277
CompactQueue,1.0,1.03,39.76290368214704,0.39395572759315883,0.6060439934262624,0.0,2.789805787693732e-07,3.6563015714509903e-06,0.9999963436984286,1.0,1.04,39.76290368214704,0.39395439708310526,0.6060419466286918,0.0,3.6562882029586882e-06,3.6563015714509903e-06,0.9999963436984286,19.93,0.09131961866532866,39.76290368214704,0.33124931393054075,0.5095792318102617,0.10744881203448275,0.05172264222471487,0.12778981099895093,0.8722101890010491,26.56,0.06965361445783133,39.76290368214704,0.3137642730908143,0.4826810215964672,0.10177711163362706,0.10177759367909148,0.12778981099895093,0.8722101890010491
SingleAssignment,5.05,0.20396039603960398,0.003624049446072168,0.37863638455139464,0.5824773965134097,0.03869086761892127,0.0001953513162744332,0.040261124192322334,0.9597388758076777,9.05,0.1149171270718232,0.003624049446072168,0.3645992513958397,0.5608832943389794,0.037256486553524676,0.037260967711656184,0.040261124192322334,0.9597388758076777,13.04,0.1395705521472393,0.003624049446072168,0.35162485610991456,0.5409240609007155,0.07160207520891122,0.03584900778045868,0.08022262315945675,0.9197773768405433,17.04,0.1085680751173709,0.003624049446072168,0.33948697211010775,0.5222516792706041,0.06913041352763481,0.06913093509165331,0.08022262315945675,0.9197773768405433
